"STOP_LOCATION_X","STOP_LOCATION_Y","AFTER_6PM"
984659,201514,FALSE
984659,201514,FALSE
984659,201514,FALSE
996365,234644,FALSE
996365,234644,FALSE
982935,203456,TRUE
981101,199742,FALSE
999089,229198,TRUE
986709,198802,TRUE
987716,213309,FALSE
987785,214702,FALSE
989207,222394,FALSE
995058,237522,FALSE
1000455,235951,TRUE
997531,240601,TRUE
997531,240601,TRUE
997776,227324,FALSE
997776,227324,FALSE
986154,214212,TRUE
986743,215404,FALSE
986743,215404,FALSE
987714,214449,FALSE
986560,214334,TRUE
1005254,254278,FALSE
985981,202199,FALSE
988125,215196,FALSE
993444,217570,FALSE
1000275,229995,TRUE
993352,229417,TRUE
1002505,231502,TRUE
1000461,239309,FALSE
1002184,247084,FALSE
1003025,232447,FALSE
1000140,233026,FALSE
1000140,233026,FALSE
1000140,233026,FALSE
984606,206978,TRUE
990987,202820,FALSE
1000846,226964,TRUE
1000186,229575,TRUE
992726,227204,FALSE
987668,220050,TRUE
1001338,229397,FALSE
988766,207887,FALSE
992029,215112,FALSE
1006807,254470,FALSE
988132,217060,FALSE
991169,226253,FALSE
996502,239082,FALSE
996502,239082,FALSE
996502,239082,FALSE
984108,206079,FALSE
986634,204076,FALSE
1000695,226803,TRUE
1001611,241370,FALSE
1006208,255072,FALSE
980964,198598,FALSE
983883,211244,TRUE
1000959,228925,FALSE
995915,236370,TRUE
1001423,236608,TRUE
987802,212864,FALSE
988270,214473,FALSE
986194,213445,FALSE
991718,213504,FALSE
992971,214300,FALSE
985766,216503,FALSE
985766,216503,FALSE
996716,234409,FALSE
996716,234409,FALSE
996885,239755,TRUE
986610,214426,TRUE
999806,228555,FALSE
998318,231726,FALSE
987172,207417,TRUE
987714,214449,FALSE
989210,219405,FALSE
989210,219405,FALSE
988628,222754,TRUE
988628,222754,TRUE
988628,222754,TRUE
988628,222754,TRUE
994029,227703,FALSE
993740,228927,TRUE
997198,238992,TRUE
1001272,242003,FALSE
999308,237228,FALSE
987952,214356,FALSE
994772,219014,TRUE
995915,236370,TRUE
995915,236370,TRUE
999308,237228,FALSE
999308,237228,FALSE
990478,208936,FALSE
998886,240181,FALSE
990415,203626,FALSE
989640,209292,FALSE
987395,214919,FALSE
987395,214919,FALSE
991262,221525,FALSE
1002227,231915,FALSE
1002227,231915,FALSE
1002227,231915,FALSE
1002227,231915,FALSE
1002509,231631,TRUE
990213,200694,FALSE
991558,226956,TRUE
1003680,226789,TRUE
993458,232407,FALSE
997670,230545,FALSE
1003680,226789,TRUE
988202,198913,FALSE
986562,199976,TRUE
986562,199976,TRUE
986562,199976,TRUE
989701,203881,FALSE
1000582,229543,TRUE
994651,229771,TRUE
1000128,229888,TRUE
998911,236510,FALSE
980941,197696,TRUE
983935,198013,FALSE
1002076,233932,FALSE
1002076,233932,FALSE
987662,201093,FALSE
999870,230473,FALSE
983478,206559,TRUE
985930,215793,FALSE
992605,212086,FALSE
992605,212086,FALSE
989074,222470,FALSE
989074,222470,FALSE
987909,200178,TRUE
987200,213927,FALSE
998186,221998,FALSE
998004,223387,FALSE
994907,219145,TRUE
994907,219145,TRUE
998671,226050,TRUE
990912,226717,TRUE
996112,235552,FALSE
1001611,241370,TRUE
1001611,241370,TRUE
1000461,239309,FALSE
987450,211352,FALSE
996684,238064,FALSE
999856,234503,TRUE
992193,228099,FALSE
1002050,238813,TRUE
1001260,236872,TRUE
